system:index,0_constant,1_B0_median,1_B1_median,1_B2_median,1_B3_median,1_B4_median,2_B0_median,2_B1_median,2_B2_median,2_B3_median,2_B4_median,.geo
9,0,445.0,704.0,882.0,2330.0,65535.0,478.0,651.0,993.0,1944.0,65535.0,"{""type"":""Point"",""coordinates"":[33.750930101817396,46.347319598357664]}"
19,0,451.0,698.0,905.0,2726.0,65535.0,564.0,823.0,1212.0,2798.0,65535.0,"{""type"":""Point"",""coordinates"":[28.990822756307473,46.27818257810562]}"
20,0,375.0,574.0,752.0,2347.0,65535.0,406.0,601.0,811.0,2024.0,65535.0,"{""type"":""Point"",""coordinates"":[33.09322324479578,47.07386332073057]}"
26,0,408.0,648.0,624.0,2900.0,65535.0,528.0,791.0,1063.0,2400.0,65535.0,"{""type"":""Point"",""coordinates"":[38.596773164319934,49.45541550179952]}"
28,2,408.0,640.0,817.0,2778.0,65535.0,866.0,1257.0,1917.0,3730.0,65535.0,"{""type"":""Point"",""coordinates"":[33.72342020990477,48.101586687453384]}"
29,0,380.0,601.0,515.0,3164.0,65535.0,363.0,667.0,566.0,3553.0,65535.0,"{""type"":""Point"",""coordinates"":[35.87123712762191,49.381066289089695]}"
35,1,1256.0,1837.0,2546.0,4153.0,65535.0,712.0,1001.0,1299.0,2415.0,65535.0,"{""type"":""Point"",""coordinates"":[29.720360671515333,46.038066829412124]}"
42,2,605.0,1265.0,882.0,4691.0,65535.0,773.0,1078.0,1673.0,3050.0,65535.0,"{""type"":""Point"",""coordinates"":[37.22092307910854,47.03683500179649]}"
49,0,446.0,852.0,1146.0,2814.0,65535.0,619.0,867.0,1173.0,2206.0,65535.0,"{""type"":""Point"",""coordinates"":[29.873856836794793,45.8222360591141]}"
53,2,494.0,759.0,1132.0,2449.0,65535.0,1172.0,1890.0,2847.0,4396.0,65535.0,"{""type"":""Point"",""coordinates"":[35.77034581156955,46.968241611145615]}"
55,0,416.0,779.0,519.0,4448.0,65535.0,414.0,832.0,532.0,4210.0,65535.0,"{""type"":""Point"",""coordinates"":[35.83310541537156,49.3017798853424]}"
70,0,351.0,520.0,585.0,1958.0,65535.0,415.0,581.0,814.0,1778.0,65535.0,"{""type"":""Point"",""coordinates"":[36.13164050600047,50.23732046002262]}"
71,0,433.0,562.0,498.0,4925.0,65535.0,281.0,516.0,476.0,2791.0,65535.0,"{""type"":""Point"",""coordinates"":[37.2347265663063,47.79051861955508]}"
81,2,394.0,683.0,617.0,3264.0,65535.0,636.0,929.0,1374.0,3010.0,65535.0,"{""type"":""Point"",""coordinates"":[26.64461008910351,49.038635683166376]}"
